temp_measured;r_ntc;temp_calc;temp_diff
-30,0;1733,2;-30,5056737418;0,505673741785
-25,0;1283,0;-25,4552380246;0,455238024621
-20,0;959,05;-20,404834175;0,404834174971
-15,0;724,8;-15,3854692331;0,385469233143
-10,0;551,41;-10,3272499429;0,32724994288
-5,0;423,7;-5,29927771662;0,299277716616
0,0;327,24;-0,215607240836;0,215607240836
5,0;254,8;4,85956647632;0,140433523676
10,0;199,99;9,92032351937;0,0796764806295
15,0;157,6;15,0454197367;-0,0454197367221
20,0;125,245;20,1343325039;-0,134332503906
25,0;100,0;25,2632233399;-0,26322333987
30,0;81,0;30,1986236061;-0,19862360607
35,0;65,65;35,2540678253;-0,25406782532
40,0;53,5;40,3122193186;-0,31221931861
45,0;43,78;45,400959215;-0,40095921496
50,0;35,899;50,5728297118;-0,572829711783
55,0;29,99;55,3796001375;-0,379600137463
60,0;25,0;60,3642020671;-0,36420206713
65,0;20,9;65,3930859241;-0,393085924078
70,0;17,55;70,4189549222;-0,418954922168
75,0;14,76;75,5223590228;-0,522359022824
80,0;12,54;80,4422967925;-0,442296792488
85,0;10,66;85,4600236803;-0,460023680345
90,0;9,1;90,4621234974;-0,462123497375
95,0;7,784;95,5145820238;-0,514582023828
100,0;6,71;100,425578648;-0,425578647867
105,0;5,85;105,059416409;-0,0594164089181
110,0;5,07;109,99652072;0,00347928019153
115,0;4,41;114,911997072;0,0880029283477
120,0;3,85;119,799789494;0,200210506307
125,0;3,34;125,024894943;-0,0248949428741
130,0;2,94;129,814539871;0,185460129338
135,0;2,58;134,819267663;0,180732337088
140,0;2,271;139,807875284;0,192124716131
145,0;2,0;144,879045026;0,120954973927
150,0;1,77;149,853217417;0,146782582736
155,0;1,589;154,328193414;0,671806585528
160,0;1,414;159,258321733;0,741678266533
165,0;1,259;164,259188904;0,740811096181
170,0;1,122;169,317738505;0,682261494613
175,0;0,997;174,60674986;0,393250139551
180,0;0,896;179,481389114;0,518610885537
185,0;0,797;184,928134659;0,0718653413986
190,0;0,719;189,810944745;0,189055255436
195,0;0,643;195,207005899;-0,207005898804
200,0;0,582;200,111316573;-0,111316573317
205,0;0,533;204,510927728;0,489072271685
210,0;0,483;209,520961027;0,479038973052
215,0;0,437;214,702657886;0,297342114089
220,0;0,396;219,895654463;0,104345536822
225,0;0,36;225,00892996;-0,00892995993848
230,0;0,328;230,090183382;-0,0901833820083
235,0;0,2993;235,174348806;-0,174348805999
240,0;0,2737;240,223357885;-0,223357884793
245,0;0,2507;245,262982846;-0,262982846462
250,0;0,23;250,292926475;-0,292926474866
255,0;0,2114;255,295461371;-0,295461370999
260,0;0,1946;260,287163999;-0,287163999125
265,0;0,1794;265,268184266;-0,268184266283
270,0;0,1656;270,248088847;-0,248088846755
275,0;0,1531;275,207493293;-0,207493292854
280,0;0,1417;280,172908021;-0,172908021294
285,0;0,1314;285,089701664;-0,0897016641569
290,0;0,122;289,998646984;0,0013530155004
295,0;0,1134;294,905475077;0,0945249234705
300,0;0,1056;299,759593747;0,240406252503
